Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,72.000000,72.540001,70.559998,71.440002,69.017166,1244566
2020-08-18,70.790001,71.519997,69.190002,69.230003,66.882118,1746225
2020-08-19,69.139999,70.339996,68.570000,70.250000,67.867523,1257818
2020-08-20,69.000000,69.610001,68.089996,69.169998,66.824150,1494100
2020-08-21,70.000000,70.580002,66.970001,69.080002,66.737206,1911917
2020-08-24,69.519997,72.099998,69.419998,72.099998,69.654785,1837871
2020-08-25,72.720001,74.080002,71.559998,71.559998,69.133095,1890052
2020-08-26,71.190002,71.790001,70.050003,70.239998,67.857872,1454869
2020-08-27,70.389999,72.470001,69.010002,72.110001,69.664452,2056024
2020-08-28,72.500000,72.739998,70.919998,71.440002,69.017166,1768097
2020-08-31,72.000000,72.410004,68.709999,68.839996,66.505341,2212248
2020-09-01,69.349998,69.570000,66.790001,69.570000,67.210594,2386066
2020-09-02,70.000000,72.480003,69.449997,72.080002,69.635468,2273300
2020-09-03,72.500000,75.279999,71.050003,71.500000,69.075134,2596847
2020-09-04,71.000000,72.660004,69.180000,69.779999,67.413467,2020741
2020-09-07,70.500000,73.769997,70.269997,73.769997,71.268150,1687917
2020-09-08,74.000000,74.029999,69.980003,70.779999,68.379547,1965586
2020-09-09,69.980003,70.320000,68.000000,69.389999,67.036690,2973903
2020-09-10,69.199997,70.599998,68.720001,69.440002,67.085007,1540101
2020-09-11,68.949997,69.309998,67.750000,68.820000,66.486031,1609414
2020-09-14,70.040001,71.510002,69.550003,71.320000,68.901245,1691025
2020-09-15,71.209999,71.650002,69.230003,69.480003,67.123650,1716297
2020-09-16,69.510002,70.790001,68.690002,70.790001,68.389221,1642471
2020-09-17,69.510002,71.449997,68.820000,71.120003,68.708023,1531358
2020-09-18,71.040001,71.040001,68.599998,68.599998,66.273483,3993509
2020-09-21,68.330002,68.410004,63.950001,64.089996,61.916435,3175014
2020-09-22,64.500000,64.699997,61.500000,62.369999,60.254768,3342559
2020-09-23,63.360001,65.190002,61.790001,61.790001,59.694443,2237429
2020-09-24,60.500000,61.040001,58.099998,59.650002,57.627018,3239813
2020-09-25,59.990002,60.169998,57.869999,60.020000,57.984470,2495747
2020-09-28,61.549999,62.639999,61.009998,62.310001,60.196808,2246798
2020-09-29,62.310001,63.139999,61.330002,62.590000,60.467312,1820433
2020-09-30,61.750000,63.189999,60.950001,62.070000,59.964947,2016150
2020-10-01,63.410000,65.099998,62.450001,64.900002,62.698971,2489597
2020-10-02,63.799999,64.830002,62.029999,64.620003,62.428471,2299021
2020-10-05,65.839996,66.709999,64.800003,65.800003,63.568451,1605420
2020-10-06,66.000000,68.739998,65.809998,67.769997,65.471626,2265095
2020-10-07,67.410004,67.980003,66.120003,66.699997,64.437920,1914374
2020-10-08,67.370003,68.199997,66.519997,66.919998,64.650459,1669083
2020-10-09,66.919998,67.830002,66.419998,66.779999,64.515205,2064860
2020-10-12,67.080002,67.580002,65.779999,65.989998,63.752003,1691699
2020-10-13,64.500000,64.639999,63.340000,63.680000,61.520344,2160265
2020-10-14,63.549999,63.680000,61.570000,62.150002,60.042233,2589403
2020-10-15,61.150002,61.880001,59.869999,61.790001,59.694443,2544700
2020-10-16,62.290001,64.669998,61.549999,64.339996,62.157955,2602485
2020-10-19,64.360001,66.730003,64.099998,65.720001,63.491161,1199317
2020-10-20,65.480003,67.989998,64.910004,66.940002,64.669792,2501202
2020-10-21,67.419998,67.440002,64.000000,64.059998,61.887455,2110298
2020-10-22,63.650002,64.650002,62.560001,64.449997,62.264229,1983309
2020-10-23,65.250000,68.699997,65.220001,68.029999,65.722816,3398269
2020-10-26,66.610001,69.690002,65.690002,65.849998,63.616749,3086066
2020-10-27,65.800003,65.830002,63.070000,64.000000,61.829494,2483118
2020-10-28,62.009998,62.730000,60.090000,61.770000,59.675121,3855312
2020-10-29,62.000000,63.860001,59.279999,61.500000,59.414272,3558316
2020-10-30,60.500000,63.419998,60.500000,62.590000,60.467312,2533525
2020-11-02,62.970001,63.980000,61.680000,63.090000,60.950356,1840502
2020-11-03,64.000000,66.739998,63.900002,66.279999,64.032166,2549566
2020-11-04,65.160004,69.239998,64.199997,68.580002,66.254166,2874383
2020-11-05,68.750000,70.589996,68.300003,70.379997,67.993118,2203607
2020-11-06,69.519997,71.000000,68.809998,70.000000,67.626007,2672747
2020-11-09,71.800003,90.430000,71.750000,83.000000,80.185120,10568937
2020-11-10,82.419998,88.930000,81.800003,87.919998,84.938263,7232758
2020-11-11,88.000000,89.540001,85.830002,87.000000,84.049469,3265918
2020-11-12,85.360001,86.480003,83.330002,84.610001,81.740517,2822386
2020-11-13,84.000000,87.300003,83.250000,85.559998,82.658295,2420350
2020-11-16,87.400002,91.400002,87.300003,90.000000,86.947723,3884774
2020-11-17,90.139999,90.199997,87.650002,90.089996,87.034668,2891922
2020-11-18,90.290001,90.500000,87.730003,90.000000,86.947723,2642183
2020-11-19,88.500000,89.919998,88.019997,89.330002,86.300446,2360085
2020-11-20,89.559998,90.000000,88.360001,88.639999,85.633850,2253690
